Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Absentee Mail Blank Votes,Absentee Walk-in Blank Votes,Election Blank Votes,Absentee Mail Over Votes,Absentee Walk-in Over Votes,Election Over Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Absentee Mail Votes,Absentee Walk-in Votes,Election Votes,Total Votes
17,"Lieutenant Governor - D",17,"OF",,5276,484,3451,202,0,20,741007,249,249,52,"CARVALHO, Bernard P., Jr.",1,"",24362,4017,17446,45825
17,"Lieutenant Governor - D",17,"OF",,5276,484,3451,202,0,20,741007,249,249,53,"IWAMOTO, Kim Coco",4,"",16060,2674,15509,34243
17,"Lieutenant Governor - D",17,"OF",,5276,484,3451,202,0,20,741007,249,249,54,"ESPERO, Will",2,"",8626,846,5991,15463
18,"Lieutenant Governor - N",18,"OF",,659,43,297,2,0,0,741007,249,249,55,"ROBOTTI, Paul F.",2,"",310,21,205,536
18,"Lieutenant Governor - N",18,"OF",,659,43,297,2,0,0,741007,249,249,56,"MAGAOAY, Ernest G.",1,"",321,20,182,523
19,"Lieutenant Governor - R",19,"OF",,2837,229,1992,15,0,4,741007,249,249,58,"KERNS, Marissa Dipasupil",1,"",4596,575,4587,9758
19,"Lieutenant Governor - R",19,"OF",,2837,229,1992,15,0,4,741007,249,249,57,"LIPSCOMB, Steve",2,"",5200,527,3816,9543
19,"Lieutenant Governor - R",19,"OF",,2837,229,1992,15,0,4,741007,249,249,59,"LOW, Jeremy",3,"",4369,452,3411,8232
20,"State Senator, Dist 1 - D",20,"OF",,1322,244,589,6,0,0,741007,9,9,60,"KAHELE, Kaialii",1,"",5715,1099,2728,9542
21,"State Senator, Dist 1 - L",21,"OF",,0,0,0,0,0,0,741007,9,9,61,"ARIANOFF, Kimberly A.",1,"",11,1,3,15
22,"State Senator, Dist 3 - D",22,"OF",,218,23,119,11,0,0,741007,12,12,63,"KANUHA, Dru",2,"",2377,458,1487,4322
22,"State Senator, Dist 3 - D",22,"OF",,218,23,119,11,0,0,741007,12,12,62,"FORD, Brenda",1,"",2028,320,1252,3600
23,"State Senator, Dist 3 - L",23,"OF",,2,0,2,0,0,0,741007,12,12,64,"LAST, Michael L.",1,"",12,2,5,19
24,"State Senator, Dist 4 - D",24,"OF",,253,42,220,11,0,2,741007,12,12,65,"INOUYE, Lorraine Rodero",1,"",2615,668,1699,4982
24,"State Senator, Dist 4 - D",24,"OF",,253,42,220,11,0,2,741007,12,12,66,"KIMBALL, Heather L.",2,"",2099,569,1424,4092
25,"State Senator, Dist 6 - G",25,"OF",,13,2,12,0,0,0,741007,9,9,67,"SHISHIDO, Melissah (Mish)",1,"",12,4,13,29
26,"State Senator, Dist 6 - D",26,"OF",,140,9,141,5,0,1,741007,9,9,69,"BAKER, Roz",2,"",1775,195,1424,3394
26,"State Senator, Dist 6 - D",26,"OF",,140,9,141,5,0,1,741007,9,9,68,"AMATO, Terez",1,"",1412,234,1642,3288
27,"State Senator, Dist 7 - D",27,"OF",,604,101,482,11,0,2,741007,15,15,70,"ENGLISH, J. Kalani",1,"",3647,747,2937,7331
27,"State Senator, Dist 7 - D",27,"OF",,604,101,482,11,0,2,741007,15,15,71,"TENGAN, Michael",98,"",1190,244,1113,2547
27,"State Senator, Dist 7 - D",27,"OF",,604,101,482,11,0,2,741007,15,15,72,"HALINIAK, Gayla",2,"",391,121,360,872
28,"State Senator, Dist 12 - D",28,"OF",,744,69,310,5,0,0,741007,10,10,74,"MORIWAKI, Sharon Y.",2,"",2935,352,1400,4687
28,"State Senator, Dist 12 - D",28,"OF",,744,69,310,5,0,0,741007,10,10,73,"GALUTERIA, Brickwood M.",1,"",1894,271,777,2942
29,"State Senator, Dist 12 - R",29,"OF",,167,14,68,0,0,0,741007,10,10,75,"MARIANO, Lynn Barry",1,"",625,54,262,941
30,"State Senator, Dist 16 - D",30,"OF",,2107,82,1320,0,0,0,741007,9,9,76,"HARIMOTO, Breene",1,"",5599,315,2843,8757
31,"State Senator, Dist 17 - D",31,"OF",,909,28,678,2,0,0,741007,8,8,77,"NISHIHARA, Clarence",1,"",3503,214,2460,6177
32,"State Senator, Dist 17 - R",32,"OF",,110,3,80,0,0,0,741007,8,8,78,"CLEMENTE, Roger",1,"",369,32,345,746
33,"State Senator, Dist 18 - D",33,"OF",,1509,74,996,3,0,0,741007,8,8,79,"KIDANI, Michelle",1,"",5307,350,3485,9142
34,"State Senator, Dist 18 - R",34,"OF",,138,3,103,0,0,1,741007,8,8,80,"SOLIS, Tony",1,"",507,27,552,1086
34,"State Senator, Dist 18 - R",34,"OF",,138,3,103,0,0,1,741007,8,8,81,"SVRCINA, Emil",2,"",270,13,227,510
35,"State Senator, Dist 19 Vacancy - D",35,"OF",,383,20,264,1,0,2,741007,7,7,82,"LOPRESTI, Matthew S. (Matt)",2,"",1941,301,1038,3280
35,"State Senator, Dist 19 Vacancy - D",35,"OF",,383,20,264,1,0,2,741007,7,7,83,"MALUAFITI, Alicia",3,"",663,107,683,1453
35,"State Senator, Dist 19 Vacancy - D",35,"OF",,383,20,264,1,0,2,741007,7,7,84,"DUZON, Veronica",1,"",249,42,322,613
36,"State Senator, Dist 19 Vacancy - R",36,"OF",,125,5,88,0,0,0,741007,7,7,85,"FEVELLA, Kurt",1,"",629,96,586,1311
37,"State Senator, Dist 21 - D",37,"OF",,102,24,111,3,0,1,741007,5,5,87,"SHIMABUKURO, Maile",2,"",1867,281,1797,3945
37,"State Senator, Dist 21 - D",37,"OF",,102,24,111,3,0,1,741007,5,5,86,"RILEY, Tim",1,"",266,34,301,601
38,"State Senator, Dist 21 - R",38,"OF",,161,23,197,0,0,0,741007,5,5,88,"GARCIA, Diamond D.",1,"",543,112,659,1314
39,"State Senator, Dist 23 - D",39,"OF",,132,4,123,3,0,0,741007,9,9,89,"RIVIERE, Gil",2,"",1736,115,1789,3640
39,"State Senator, Dist 23 - D",39,"OF",,132,4,123,3,0,0,741007,9,9,90,"HEE, Clayton",1,"",855,49,902,1806
40,"State Senator, Dist 24 - D",40,"OF",,379,10,305,6,0,0,741007,11,11,91,"KEOHOKALOLE, Jarrett",2,"",3871,242,3727,7840
40,"State Senator, Dist 24 - D",40,"OF",,379,10,305,6,0,0,741007,11,11,92,"ITO, Ken",1,"",3125,170,2102,5397
41,"State Representative, Dist 1 - D",41,"OF",,250,37,156,7,0,1,741007,9,9,93,"NAKASHIMA, Mark M.",2,"",2623,472,1318,4413
41,"State Representative, Dist 1 - D",41,"OF",,250,37,156,7,0,1,741007,9,9,94,"PAIK-MANDER, Koohan",3,"",866,166,679,1711
42,"State Representative, Dist 2 - D",42,"OF",,454,66,124,4,0,0,741007,5,5,96,"TODD, Christopher L.T.",2,"",2753,523,1029,4305
42,"State Representative, Dist 2 - D",42,"OF",,454,66,124,4,0,0,741007,5,5,95,"NAPEAHI, Terri L.",1,"",807,185,600,1592
43,"State Representative, Dist 2 - R",43,"OF",,52,3,24,2,0,0,741007,5,5,97,"MANIPOL-LARSON, Grace",2,"",116,32,69,217
43,"State Representative, Dist 2 - R",43,"OF",,52,3,24,2,0,0,741007,5,5,98,"FESTE, Bryan M.",1,"",47,14,38,99
44,"State Representative, Dist 3 - D",44,"OF",,131,33,95,1,0,1,741007,7,7,99,"ONISHI, Richard H.K.",1,"",1738,346,913,2997
44,"State Representative, Dist 3 - D",44,"OF",,131,33,95,1,0,1,741007,7,7,100,"WHITING, Raina",2,"",1232,247,977,2456
45,"State Representative, Dist 3 - L",45,"OF",,1,0,1,0,0,0,741007,7,7,101,"FOGEL, Fred F.",1,"",11,3,2,16
46,"State Representative, Dist 4 - D",46,"OF",,557,55,301,1,0,0,741007,4,4,102,"SAN BUENAVENTURA, Joy",1,"",2443,346,1130,3919
47,"State Representative, Dist 5 - D",47,"OF",,167,17,68,6,0,1,741007,8,8,104,"CREAGAN, Richard P.",1,"",1407,156,796,2359
47,"State Representative, Dist 5 - D",47,"OF",,167,17,68,6,0,1,741007,8,8,103,"KAPELA, Jeanne",2,"",867,165,840,1872
47,"State Representative, Dist 5 - D",47,"OF",,167,17,68,6,0,1,741007,8,8,105,"LESLIE, Gene (Bucky)",3,"",262,44,141,447
48,"State Representative, Dist 6 - D",48,"OF",,298,47,166,6,0,0,741007,5,5,106,"LOWEN, Nicole",1,"",2003,493,1135,3631
49,"State Representative, Dist 7 - D",49,"OF",,99,11,74,4,0,0,741007,5,5,107,"TARNAS, David",2,"",1393,521,990,2904
49,"State Representative, Dist 7 - D",49,"OF",,99,11,74,4,0,0,741007,5,5,108,"EVANS, Cindy",1,"",1304,327,874,2505
50,"State Representative, Dist 7 - R",50,"OF",,106,13,57,0,0,0,741007,5,5,109,"BELEKANICH, Tom",1,"",358,96,259,713
51,"State Representative, Dist 8 - D",51,"OF",,104,18,54,4,0,0,741007,7,7,112,"HASHIMOTO, Troy",1,"",2030,405,832,3267
51,"State Representative, Dist 8 - D",51,"OF",,104,18,54,4,0,0,741007,7,7,113,"KANE, Dain P.",3,"",1161,292,566,2019
51,"State Representative, Dist 8 - D",51,"OF",,104,18,54,4,0,0,741007,7,7,111,"WAGNER, Mary D.",4,"",246,74,120,440
51,"State Representative, Dist 8 - D",51,"OF",,104,18,54,4,0,0,741007,7,7,110,"HUGHEY, Justin",2,"",179,68,151,398
52,"State Representative, Dist 9 - D",52,"OF",,138,13,93,6,0,0,741007,4,4,115,"WOODSON, Justin H.",35,"",1562,207,914,2683
52,"State Representative, Dist 9 - D",52,"OF",,138,13,93,6,0,0,741007,4,4,114,"BATANGAN, Kauanoe",1,"",908,155,486,1549
53,"State Representative, Dist 9 - N",53,"OF",,13,2,12,0,0,0,741007,4,4,116,"KAYES, Andrew",1,"",16,2,10,28
54,"State Representative, Dist 10 - G",54,"OF",,1,0,4,0,0,0,741007,5,5,117,"MATHER, Jen Kamaho'i",1,"",10,5,17,32
55,"State Representative, Dist 10 - D",55,"OF",,291,29,322,0,0,1,741007,5,5,118,"MCKELVEY, Angus L.K.",1,"",1040,128,1173,2341
56,"State Representative, Dist 10 - R",56,"OF",,81,1,62,0,0,0,741007,5,5,119,"MARTEN, Chayne M.",1,"",206,14,153,373
57,"State Representative, Dist 11 - D",57,"OF",,76,6,59,6,0,0,741007,4,4,122,"WILDBERGER, Tina M.L.",3,"",1095,161,925,2181
57,"State Representative, Dist 11 - D",57,"OF",,76,6,59,6,0,0,741007,4,4,121,"COUCH, Don",1,"",742,98,665,1505
57,"State Representative, Dist 11 - D",57,"OF",,76,6,59,6,0,0,741007,4,4,120,"MYRICK, Lee",2,"",82,16,63,161
58,"State Representative, Dist 11 - N",58,"OF",,21,0,6,0,0,0,741007,4,4,123,"KANAHELE, Daniel",1,"",29,0,33,62
59,"State Representative, Dist 12 - D",59,"OF",,96,8,60,3,0,1,741007,6,6,125,"YAMASHITA, Kyle T.",2,"",2031,251,1131,3413
59,"State Representative, Dist 12 - D",59,"OF",,96,8,60,3,0,1,741007,6,6,124,"LAWRENCE, Tiare M.",1,"",1523,295,1355,3173
60,"State Representative, Dist 13 - G",60,"OF",,1,1,4,0,0,0,741007,9,9,126,"NIKHILANANDA, Nick",1,"",7,7,11,25
61,"State Representative, Dist 13 - D",61,"OF",,160,36,192,3,0,2,741007,9,9,127,"DECOITE, Lynn P.",1,"",1284,461,1131,2876
61,"State Representative, Dist 13 - D",61,"OF",,160,36,192,3,0,2,741007,9,9,128,"ENGLISH, John-Bull",2,"",743,162,1022,1927
62,"State Representative, Dist 14 - D",62,"OF",,556,156,731,3,0,0,741007,5,5,129,"NAKAMURA, Nadine K.",1,"",1741,507,1467,3715
63,"State Representative, Dist 15 - D",63,"OF",,351,121,284,3,0,0,741007,5,5,131,"TOKIOKA, James Kunane",2,"",1911,769,1209,3889
63,"State Representative, Dist 15 - D",63,"OF",,351,121,284,3,0,0,741007,5,5,130,"DALIGDIG, Elaine (Queenie)",1,"",517,196,372,1085
64,"State Representative, Dist 16 - D",64,"OF",,264,62,260,4,0,0,741007,6,6,132,"MORIKAWA, Daynette (Dee)",2,"",1613,335,1110,3058
64,"State Representative, Dist 16 - D",64,"OF",,264,62,260,4,0,0,741007,6,6,133,"IONA, Stephanie N.",1,"",796,206,833,1835
65,"State Representative, Dist 17 - L",65,"OF",,2,0,1,0,0,0,741007,4,4,134,"YIM, Alan J.K.",1,"",2,0,5,7
66,"State Representative, Dist 17 - R",66,"OF",,38,3,15,1,0,0,741007,4,4,135,"WARD, Gene",1,"",586,24,363,973
67,"State Representative, Dist 18 - D",67,"OF",,1503,94,834,3,0,0,741007,4,4,136,"HASHEM, Mark Jun",1,"",3299,238,1831,5368
68,"State Representative, Dist 18 - R",68,"OF",,123,5,69,0,0,0,741007,4,4,137,"SOUZA, Ola",1,"",326,27,241,594
69,"State Representative, Dist 19 - D",69,"OF",,1156,92,636,4,0,0,741007,5,5,138,"KOBAYASHI, Bertrand (Bert)",1,"",2732,208,1547,4487
70,"State Representative, Dist 20 - D",70,"OF",,905,98,625,1,0,0,741007,4,4,139,"SAY, Calvin K.Y.",1,"",2811,257,1726,4794
71,"State Representative, Dist 20 - R",71,"OF",,36,3,32,0,0,0,741007,4,4,140,"ALLEN, Julia E.",1,"",204,20,158,382
71,"State Representative, Dist 20 - R",71,"OF",,36,3,32,0,0,0,741007,4,4,141,"HAND, Brendan (Hector)",2,"",42,4,29,75
72,"State Representative, Dist 21 - D",72,"OF",,439,48,299,0,0,0,741007,4,4,142,"NISHIMOTO, Scott Y.",1,"",1864,169,1091,3124
73,"State Representative, Dist 22 - D",73,"OF",,558,57,343,0,0,0,741007,3,3,143,"BROWER, Tom",1,"",1293,168,575,2036
74,"State Representative, Dist 22 - R",74,"OF",,69,5,20,0,0,0,741007,3,3,144,"HENSKI-STARK, Kathryn",1,"",298,24,127,449
75,"State Representative, Dist 23 - D",75,"OF",,526,44,297,6,0,0,741007,5,5,149,"KOBAYASHI, Dale",4,"",1423,120,891,2434
75,"State Representative, Dist 23 - D",75,"OF",,526,44,297,6,0,0,741007,5,5,146,"GARRETT, Andrew Takuya",3,"",868,76,587,1531
75,"State Representative, Dist 23 - D",75,"OF",,526,44,297,6,0,0,741007,5,5,145,"ARMSTRONG, Dylan P.",1,"",407,43,281,731
75,"State Representative, Dist 23 - D",75,"OF",,526,44,297,6,0,0,741007,5,5,148,"FUKUMOTO, Elton T.",2,"",348,30,220,598
75,"State Representative, Dist 23 - D",75,"OF",,526,44,297,6,0,0,741007,5,5,147,"RODDEN, Benton Park",55,"",212,30,231,473
76,"State Representative, Dist 24 - D",76,"OF",,913,117,496,0,0,0,741007,4,4,150,"BELATTI, Della Au",1,"",2081,307,1099,3487
77,"State Representative, Dist 25 - D",77,"OF",,818,141,524,2,0,0,741007,5,5,151,"LUKE, Sylvia",1,"",2511,343,1412,4266
78,"State Representative, Dist 26 - D",78,"OF",,983,112,362,1,0,0,741007,7,7,152,"SAIKI, Scott K.",1,"",2263,332,803,3398
79,"State Representative, Dist 27 - D",79,"OF",,699,76,377,2,0,0,741007,5,5,153,"OHNO, Takashi",1,"",2521,259,1355,4135
80,"State Representative, Dist 27 - R",80,"OF",,75,1,50,0,0,0,741007,5,5,154,"KEALOHA-LINDSEY, Mela",1,"",210,16,129,355
81,"State Representative, Dist 28 - D",81,"OF",,317,31,187,1,0,0,741007,4,4,155,"MIZUNO, John M.",1,"",1415,98,879,2392
82,"State Representative, Dist 29 - D",82,"OF",,158,17,71,1,0,1,741007,4,4,157,"HOLT, Daniel",1,"",852,102,445,1399
82,"State Representative, Dist 29 - D",82,"OF",,158,17,71,1,0,1,741007,4,4,156,"LOGUE, James",2,"",386,49,196,631
83,"State Representative, Dist 30 - D",83,"OF",,70,4,46,0,0,0,741007,4,4,158,"CACHOLA, Romy M.",1,"",655,27,238,920
83,"State Representative, Dist 30 - D",83,"OF",,70,4,46,0,0,0,741007,4,4,159,"GANADEN, Ernesto M. (Sonny)",62,"",518,35,316,869
84,"State Representative, Dist 30 - R",84,"OF",,20,2,11,0,0,0,741007,4,4,160,"VELASCO, Mar",1,"",109,5,70,184
85,"State Representative, Dist 31 - D",85,"OF",,412,20,307,1,0,0,741007,5,5,161,"JOHANSON, Aaron Ling",1,"",1437,102,1074,2613
86,"State Representative, Dist 32 - D",86,"OF",,487,35,347,0,0,0,741007,3,3,162,"ICHIYAMA, Linda",1,"",2414,165,1300,3879
87,"State Representative, Dist 33 - D",87,"OF",,427,11,206,3,0,0,741007,6,6,163,"KONG, Sam Satoru",2,"",2373,110,1361,3844
87,"State Representative, Dist 33 - D",87,"OF",,427,11,206,3,0,0,741007,6,6,164,"ARAKAKI, Tracy Aaron",1,"",1160,58,704,1922
87,"State Representative, Dist 33 - D",87,"OF",,427,11,206,3,0,0,741007,6,6,165,"MATSUSHITA, David",3,"",682,22,309,1013
88,"State Representative, Dist 34 - D",88,"OF",,677,32,437,1,0,0,741007,3,3,166,"TAKAYAMA, Gregg",1,"",3361,211,1763,5335
89,"State Representative, Dist 35 - D",89,"OF",,435,14,279,2,0,0,741007,6,6,167,"TAKUMI, Roy M.",1,"",1768,86,1120,2974
90,"State Representative, Dist 36 - D",90,"OF",,224,12,166,3,0,1,741007,3,3,169,"LEE, Marilyn B.",4,"",1152,75,799,2026
90,"State Representative, Dist 36 - D",90,"OF",,224,12,166,3,0,1,741007,3,3,168,"HAZAMA, Dean I.",2,"",1094,58,661,1813
90,"State Representative, Dist 36 - D",90,"OF",,224,12,166,3,0,1,741007,3,3,171,"LA CHICA, Trish",3,"",709,42,630,1381
90,"State Representative, Dist 36 - D",90,"OF",,224,12,166,3,0,1,741007,3,3,170,"AKI, Zuri C.",1,"",269,6,212,487
91,"State Representative, Dist 36 - R",91,"OF",,66,1,53,0,0,0,741007,3,3,172,"OKIMOTO, Val",1,"",421,29,439,889
92,"State Representative, Dist 37 - D",92,"OF",,700,48,429,3,0,0,741007,4,4,173,"YAMANE, Ryan I.",1,"",3247,177,1998,5422
93,"State Representative, Dist 37 - R",93,"OF",,112,1,70,0,0,0,741007,4,4,174,"SMART, Mary",1,"",363,15,371,749
94,"State Representative, Dist 38 - D",94,"OF",,215,10,192,0,0,0,741007,4,4,175,"AQUINO, Henry J.C.",1,"",1386,88,1075,2549
95,"State Representative, Dist 39 - D",95,"OF",,363,25,212,0,0,0,741007,4,4,176,"CULLEN, Ty J.K.",1,"",1585,189,1187,2961
96,"State Representative, Dist 40 - D",96,"OF",,510,20,397,0,0,0,741007,4,4,177,"MARTINEZ, Rose",1,"",772,128,734,1634
97,"State Representative, Dist 40 - N",97,"OF",,2,0,1,0,0,0,741007,4,4,178,"BOLO, Pat Cariaga",1,"",14,0,13,27
98,"State Representative, Dist 40 - R",98,"OF",,23,0,26,0,0,0,741007,4,4,179,"MCDERMOTT, Bob",1,"",304,42,329,675
99,"State Representative, Dist 41 - D",99,"OF",,378,22,238,3,0,0,741007,5,5,180,"CABANILLA ARAKAWA, Rida",1,"",1016,186,642,1844
99,"State Representative, Dist 41 - D",99,"OF",,378,22,238,3,0,0,741007,5,5,181,"ROBINSON-ONDERKO, Lynn",2,"",739,140,466,1345
100,"State Representative, Dist 41 - R",100,"OF",,86,9,42,0,0,0,741007,5,5,182,"FIDELIBUS, Chris",1,"",377,56,299,732
101,"State Representative, Dist 42 - D",101,"OF",,102,18,81,5,0,0,741007,4,4,184,"HAR, Sharon",1,"",1501,397,1120,3018
101,"State Representative, Dist 42 - D",101,"OF",,102,18,81,5,0,0,741007,4,4,183,"SCHAFER, Jake",2,"",373,98,355,826
102,"State Representative, Dist 43 - D",102,"OF",,88,14,67,1,0,0,741007,5,5,185,"ELI, Stacelynn Kehaulani",1,"",964,143,807,1914
102,"State Representative, Dist 43 - D",102,"OF",,88,14,67,1,0,0,741007,5,5,186,"JUAREZ, Michael Jesus",2,"",112,21,95,228
103,"State Representative, Dist 43 - N",103,"OF",,5,0,1,0,0,0,741007,5,5,187,"KAAIHUE, Angela S. (Aulani)",1,"",14,1,3,18
104,"State Representative, Dist 43 - R",104,"OF",,79,16,175,0,0,0,741007,5,5,188,"TIMOTEO, Sailau",1,"",338,88,340,766
105,"State Representative, Dist 44 - D",105,"OF",,23,4,26,4,0,0,741007,2,2,190,"GATES, Cedric Asuega",1,"",778,115,877,1770
105,"State Representative, Dist 44 - D",105,"OF",,23,4,26,4,0,0,741007,2,2,189,"JORDAN, Jo",2,"",364,50,363,777
106,"State Representative, Dist 45 - R",106,"OF",,24,0,25,0,0,0,741007,5,5,191,"CHEAPE MATSUMOTO, Lauren",1,"",235,15,205,455
107,"State Representative, Dist 46 - D",107,"OF",,216,8,160,1,0,0,741007,4,4,194,"PERRUSO, Amy A.",3,"",699,47,683,1429
107,"State Representative, Dist 46 - D",107,"OF",,216,8,160,1,0,0,741007,4,4,192,"LEARMONT, Lei Uemura",2,"",646,42,533,1221
107,"State Representative, Dist 46 - D",107,"OF",,216,8,160,1,0,0,741007,4,4,193,"FUNG, Lester L.",1,"",63,1,58,122
